,title,artist,top genre,year,bpm,duration,acousticness,popularity,country
722,Pal Pal Dil Ke Paas- Title Track,Arijit Singh,desi pop,2019,124.0,255,59.0,69,india
723,Sakhiyaan,Maninder Buttar,desi pop,2018,83.0,179,30.0,69,india
724,Proper Patola,Badshah,desi hip hop,2018,172.0,179,49.0,69,india
721,"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")",Arijit Singh,desi pop,2019,70.0,285,74.0,69,india
720,"Pachtaoge (From ""Jaani Ve"")",Arijit Singh,desi pop,2019,170.0,227,62.0,71,india
719,"Duniyaa (From ""Luka Chuppi"")",Akhil,desi pop,2019,77.0,223,70.0,71,india
718,Yaad Piya Ki Aane Lagi,Neha Kakkar,desi pop,2019,108.0,257,38.0,72,india
717,Makhna,Tanishk Bagchi,desi pop,2019,125.0,183,17.0,73,india
715,"Tum Hi Aana (From ""Marjaavaan"")",Payal Dev,modern bollywood,2019,90.0,249,63.0,74,india
716,Filhall,B Praak,desi pop,2019,80.0,255,61.0,74,india
714,"Ghungroo (From ""War"")",Arijit Singh,desi pop,2019,118.0,303,7.0,75,india
671,Woin Woin feat. RK,Larry,french hip hop,2019,130.0,173,17.0,77,france
673,Mayday (feat. Ninho),SCH,french hip hop,2019,152.0,210,61.0,77,france
672,Loin de moi,Naza,francoton,2019,97.0,144,64.0,77,france
674,Baianá,Bakermat,deep euro house,2019,122.0,182,0.0,77,france
774,lowkey,NIKI,indie r&b,2019,118.0,171,43.0,78,indonesia
670,0.4,Aya Nakamura,basshall,2019,92.0,175,40.0,78,france
669,Ne reviens pas,Gradur,french hip hop,2019,125.0,189,21.0,78,france
773,Tolong,Budi Doremi,indonesian pop,2018,136.0,250,89.0,78,indonesia
770,Halu,Feby Putri,adult standards,2019,116.0,266,87.0,79,indonesia
771,I Love You 3000,Stephanie Poetri,indonesian pop,2019,90.0,210,91.0,79,indonesia
772,Way Back Home (feat. Conor Maynard) - Sam Feldt Edit,SHAUN,k-pop,2018,106.0,192,27.0,79,indonesia
668,Hé oh,Gambi,pop urbaine,2019,105.0,178,7.0,79,france
666,Moulaga,Heuss L'enfoiré,french hip hop,2019,125.0,180,33.0,79,france
667,Oui ou non,Angèle,belgian pop,2019,200.0,197,64.0,79,france
769,Location Unknown <U+25D0> - Brooklyn Session,HONNE,uk pop,2019,92.0,328,94.0,80,indonesia
323,Serenata - Ao Vivo,Marília Mendonça,sertanejo,2019,132.0,156,10.0,81,brazil
320,Lençol Dobrado,João Gustavo e Murilo,funk carioca,2018,125.0,179,36.0,81,brazil
322,S de Saudade,Luíza & Maurílio,sertanejo pop,2019,124.0,175,62.0,81,brazil
321,Bebi Liguei - Ao Vivo,Marília Mendonça,sertanejo,2019,154.0,160,36.0,81,brazil
874,SUPREME - L'ego (feat. tha Supreme & Sfera Ebbasta),Marracash,italian hip hop,2019,141.0,223,7.0,81,italy
324,Todo Mundo Vai Sofrer - Ao Vivo,Marília Mendonça,sertanejo,2019,111.0,155,28.0,81,brazil
